,code,docstring,codeBERT Predictions,NeuralCodeSum Predictions,Code2Seq Predictions,Comments - CodeBERT(Person1),Comments - NeuralCodeSum (Person1),Comments - Code2Seq (Person1),Comments - CodeBERT(Person2),Comments - NeuralCodeSum (Person2),Comments - Code2Seq (Person2),Commens-CodeBERT (Person3) ,Comments - NeuralCodeSum (Person3),Comments - Code2Seq (Person3),CodeBERT (Final Categories),NeuralCodeSum (Final Categories),Code2Seq (Final Categories),Raw_Methods,Ground_Truth
0,public void setportstring(string port) { portstring=port; },"sets the server port number nb it accepts a string, and not an int",sets the port,sets the port,sets the var of the osc address,Missing Non-Critical Information,Missing Non-Critical Information,Incorrect Identifier/Attribute,,,,Missing Non-Critical Information,Missing Non-Critical Information,Missing Identifier,Missing Non-Critical Information,Missing Non-Critical Information,Incorrect Identifier/Attribute,public void setPortString(String port) { portString=port; },"/**
 * Sets the server port number. NB it accepts a String, and not an int.
 * @param port int
 */"
1,public boolean canredo() { return indexofnextadd < history.size(); },returns true if a redo is possible,returns true if the history can be redone,returns true if there are more points to redo,returns whether it has the next element,Consistent with Specific Info ,Consistent with Specific Info ,Missing Critical Information,,,,Consistent with Specific Info ,Consistent with Specific Info ,Incorrect Identifier/Attribute,Consistent with Specific Info ,Consistent with Specific Info ,Missing Critical Information,"public boolean canRedo() {
  return indexOfNextAdd < history.size();
  }","/**
  * Returns true if a redo is possible.
  */"
2,public items withtotalresults(biginteger value) { settotalresults(value); return this; },sets the value of the totalresults property,sets the total results,sets the total number of items in the group,returns the total results for the given var,Consistent with Specific Info ,Consistent but Missing Specific Info,Incorrect Identifier/Attribute,,,,Consistent with Specific Info ,Partial Incorrect Information,Incorrect Identifier/Attribute,Consistent with Specific Info ,Incorrect Identifier/Attribute,Incorrect Identifier/Attribute,"public Items withTotalResults(BigInteger value) {
  setTotalResults(value);
  return this;
  }","/**
  * Sets the value of the TotalResults property.
  * 
  * @param value
  * @return
  *  this instance
  */"
3,public browsenodelookuprequest withresponsegroup(string... values) { for (string value: values) { getresponsegroup().add(value); } return this; },sets the value of the responsegroup property,sets the response group,returns a list of the values returned by the specified query,returns a new response with the given var,Consistent but Missing Specific Info,Missing Non-Critical Information,Incorrect Identifier/Attribute,,,,Consistent but Missing Specific Info,Partial Incorrect Information,Incorrect Identifier/Attribute,Consistent but Missing Specific Info,Missing Non-Critical Information,Incorrect Identifier/Attribute,"public BrowseNodeLookupRequest withResponseGroup(String... values) {
  for (String value: values) {
  getResponseGroup().add(value);
  }
  return this;
  }","/**
  * Sets the value of the ResponseGroup property.
  * 
  * @param values
  * @return
  *  this instance
  */"
4,public boolean ishastripodmount() { return hastripodmount; },gets the value of the hastripodmount property,returns the hasripodmount,gets the },returns whether it has the,Consistent with Specific Info ,Incorrect Identifier/Attribute,Incomplete Sentence,,,,Consistent with Specific Info ,Incorrect Identifier/Attribute,Incomplete Sentence,Consistent with Specific Info ,Incorrect Identifier/Attribute,Incomplete Sentence,"public Boolean isHasTripodMount() {
  return hasTripodMount;
  }","/**
  * Gets the value of the hasTripodMount property.
  * 
  * @return
  *  possible object is
  *  {@link Boolean }
  *  
  */"
5,public string getschema() { return fschema; },returns a path to the xml schema of a extension point,returns the schema,returns the name of the xml schema,returns the schema schema,Consistent but Missing Specific Info,Consistent with Specific Info ,Repetition,,,,Consistent but Missing Specific Info,Missing Non-Critical Information,Repetition,Consistent but Missing Specific Info,Missing Non-Critical Information,Repetition,"public String getSchema() {
  return fSchema;
  }","/**
  * Returns a path to the xml schema of a extension point.
  * 
  * @return String
  */"
6,private void notifyreceivedresource(resourcereceivedinfo info) { for(pastryprotocollistenerifc listener : listeners) { listener.resourcereceived(info); } },informs the configured listener(s) that the resource described by the input  has been received by this node for local storage,notify all listeners that a resource was received,notifies the listeners that a } message was received,notifies all listeners that a new var has been received,Consistent with Specific Info ,Incorrect Identifier/Attribute,Incorrect Identifier/Attribute,,,,Improves upon Semantic Meaning ,Incorrect Identifier/Attribute,Incorrect Identifier/Attribute,Improves upon Semantic Meaning ,Incorrect Identifier/Attribute,Incorrect Identifier/Attribute,"private void notifyReceivedResource(ResourceReceivedInfo info) {
  for(PastryProtocolListenerIfc listener : listeners) {
  listener.resourceReceived(info);
  }
  }","/**
  * Informs the configured listener(s) that the resource described by the input
  * {@link ResourceAssignedInfo} has been received by this node for local storage.
  *
  * @param info The resource description
  */"
7,public float getdashphase() { return dashphase; },gets the dash phase of the basicstroke,gets the dashphase,returns the phase of dealpoint,get the current velocity of the current value,Consistent but Missing Specific Info,Partial Incorrect Information,Semantically Unrelated to Code,,,,Consistent but Missing Specific Info,Partial Incorrect Information,Different Meaning,Consistent but Missing Specific Info,Partial Incorrect Information,Semantically Unrelated to Code,"public float getDashPhase() {
  return dashPhase;
  }","/**
  * Gets the dash phase of the BasicStroke.
  * 
  * @return the dash phase of the BasicStroke.
  */"
8,"public void setcolorfilter(int color, porterduff.mode mode) { setcolorfilter(new porterduffcolorfilter(color, mode)); }",specify a color and porterduff mode to be the colorfilter for this  drawable,sets the color filter,sets the color of the whole phrase,sets the var of the var,Focusing Only on Method Name ,Incorrect Identifier/Attribute,Incorrect Identifier/Attribute,,,,Consistent but Missing Specific Info,Incorrect Identifier/Attribute,Incorrect Identifier/Attribute,Focusing Only on Method Name ,Incorrect Identifier/Attribute,Incorrect Identifier/Attribute,"public void setColorFilter(int color, PorterDuff.Mode mode) {
  setColorFilter(new PorterDuffColorFilter(color, mode));
  }","/**
  * Specify a color and porterduff mode to be the colorfilter for this
  * drawable.
  */"
9,public void setreadtimeout(int timeout) { if (0 > timeout) { } this.readtimeout = timeout; },sets the timeout value in milliseconds for reading from the input stream,sets the read timeout,sets the number of milliseconds to wait for a response before timing out,sets the timeout to read from the server,Focusing Only on Method Name ,Consistent with Specific Info ,Consistent but Missing Specific Info,,,,Consistent but Missing Specific Info,Consistent with Specific Info ,Consistent but Missing Specific Info,Focusing Only on Method Name ,Consistent with Specific Info ,Consistent but Missing Specific Info,"public void setReadTimeout(int timeout) {
  if (0 > timeout) {
  throw new IllegalArgumentException(Msg.getString(""K0036"")); //$NON-NLS-1$
  }
  this.readTimeout = timeout;
  }","/**
  * Sets the timeout value in milliseconds for reading from the input stream
  * of an established connection to the resource. A {@code
  * SocketTimeoutException} is thrown if the connection could not be
  * established in this time. Default is {@code 0} which stands for an
  * infinite timeout.
  * 
  * @param timeout
  *  the reading timeout in milliseconds.
  * @throws IllegalArgumentException
  *  if the parameter {@code timeout} is less than zero.
  * @since Android 1.0
  */"
