,code,docstring,codeBERT Predictions,NeuralCodeSum Predictions,code2seq Predictions,Raw_Methods,Ground_Truth,Comments - CodeBERT(Person1),Comments - NeuralCodeSum (Person1),Comments - Code2Seq (Person1),Comments - CodeBERT(Person2),Comments - NeuralCodeSum (Person2),Comments - Code2Seq (Person2),Comments - CodeBERT(Person3),Comments - NeuralCodeSum (Person3),Comments - Code2Seq (Person3),CodeBERT (Final Categories),NeuralCodeSum (Final Categories),Code2Seq (Final Categories)
0,"public void testControlCharacterReplacement4() { CharacterReplacer cReplacer; String aInput, aResult; try { aInput = ""This is a test, 123.""; cReplacer = Perl5Parser.makeReplacer( ""/\\x20-\\x2F\\xA0\\xAF/\\cG/s"" ); aResult = cReplacer.doReplacement( aInput ); assertEquals( ""This\007is\007a\007test\007123\007"", aResult ); assertEquals( 6, cReplacer.getMatches() ); } catch( CharacterParseException eParse ) { fail( eParse.toString() ); } }",test control character handling control characters in perl are escaped using the \cx escape sequence this uses the perl5parse utility class,test a control character replacement,test } method,test method for } has no character character,"public void testControlCharacterReplacement4() {
  CharacterReplacer cReplacer;
  String aInput, aResult;
 

  try {
  aInput = ""This is a test, 123."";
  cReplacer = Perl5Parser.makeReplacer( ""/\\x20-\\x2F\\xA0\\xAF/\\cG/s"" );
  aResult = cReplacer.doReplacement( aInput );
 

  assertEquals( ""This\007is\007a\007test\007123\007"", aResult );
  assertEquals( 6, cReplacer.getMatches() );
 

  } catch( CharacterParseException eParse ) {
  fail( eParse.toString() );
  }
  }","/**
  * Test control character handling. Control characters in Perl are
  * escaped using the \cx escape sequence. This uses the Perl5Parse
  * utility class.
  */",Missing Critical Information,Missing Attribute Specification,Repetition,,,,Missing Syntax Information,Missing Syntax Information,Repetition,Missing Syntax Information,Missing Attribute Specification,Repetition
1,public boolean isFirstPage() { return (index <= 1); },is the current page the first page?,returns true if this page is the first page,returns true if the first page is the first page,returns whether the first page is the first page,"public boolean isFirstPage() {
  return (index <= 1);
  }","/** Is the current page the first page?
  * @return True if the current page is the first page
  */",Consistent with Specific Info ,Incorrect Identifier/Attribute,Incorrect Identifier/Attribute,,,,Partial Incorrect Information,Repetition,Repetition,Consistent with Specific Info ,Repetition,Repetition
2,"public void testDouble() throws Exception { DoubleObj x = new DoubleObj(1.23456789); String json = trans.serializeToJsonString(x); assertEquals(""{\""value\"":1.23456789}"", json); DoubleObj y = (DoubleObj) trans.deserializeFromJsonString(json, DoubleObj.class); assertEquals(x, y); Map m = (Map) trans.deserializeFromJsonString(json); assertEquals(new Double(1.23456789), m.get(""value"")); }",test (de)serialization of double,test method for },tests the conversion of a double as a double,###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,"public void testDouble() throws Exception {
  DoubleObj x = new DoubleObj(1.23456789);
  String json = trans.serializeToJsonString(x);
  assertEquals(""{\""value\"":1.23456789}"", json);
  
  DoubleObj y = (DoubleObj) trans.deserializeFromJsonString(json, DoubleObj.class);
  assertEquals(x, y);
 

  Map m = (Map) trans.deserializeFromJsonString(json);
  assertEquals(new Double(1.23456789), m.get(""value""));
  }","/**
  * Test (de)serialization of double.
  * @throws Exception If the test fails.
  */",Missing Critical Information,Missing Critical Information,0,,,,Missing Syntax Information,Repetition,0,Missing Syntax Information,Repetition,0
3,"public void testBoolean() throws Exception { BooleanObj x = new BooleanObj(true); String value = ""<value xsi:type=\""xsd:boolean\"">true</value>""; String serial = trans.serializeToString(x); checkSerializedString(""testBoolean"", serial, value); BooleanObj y = (BooleanObj) trans.deserializeFromString(serial); assertEquals(""wrong deserializer"", x, y); }",test (de)serialization of boolean,test serialization of a boolean,test method for },###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,"public void testBoolean() throws Exception {
  BooleanObj x = new BooleanObj(true);
  String value = ""<value xsi:type=\""xsd:boolean\"">true</value>"";
  String serial = trans.serializeToString(x);
  checkSerializedString(""testBoolean"", serial, value);
  BooleanObj y = (BooleanObj) trans.deserializeFromString(serial);
  assertEquals(""wrong deserializer"", x, y);
  }","/**
  * Test (de)serialization of boolean.
  * @throws Exception If the test failes.
  */",Different Meaning,Missing Critical Information,0,,,,Partial Incorrect Information,Missing Syntax Information,0,Partial Incorrect Information,Missing Syntax Information,0
4,"public void testReferences() throws Exception { trans.setProperty(PropertyKeys.OMIT_ID, ""no""); RefObj x = new RefObj(new DoubleObj(1.23)); String serial = trans.serializeToString(x); RefObj y = (RefObj) trans.deserializeFromString(serial); assertTrue( ""Members of RefObj doesn't point to the same instance."", y.getA() == y.getB()); }",test (de)serialization of objects with references,a unit test for junit,test a reference to a reference,###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,"public void testReferences() throws Exception {
  trans.setProperty(PropertyKeys.OMIT_ID, ""no"");
  RefObj x = new RefObj(new DoubleObj(1.23));
  String serial = trans.serializeToString(x);
  RefObj y = (RefObj) trans.deserializeFromString(serial);
  assertTrue(
  ""Members of RefObj doesn't point to the same instance."",
  y.getA() == y.getB());
  }","/**
  * Test (de)serialization of objects with references.
  * @throws Exception If the test failes.
  */",Missing Critical Information,Missing Attribute Specification,0,,,,Missing Prog. Language Information ,Repetition,0,Missing Prog. Language Information ,Missing Attribute Specification,0
5,"protected Font getBaseSystemFont() { return new FontUIResource(""Lucida Grande"", Font.PLAIN, 13); }","returns the base font for which system fonts are derived this is lucida grande, plain, 13",returns the base system font,returns the base system font,returns the base font used for this component,"protected Font getBaseSystemFont() {
  return new FontUIResource(""Lucida Grande"", Font.PLAIN, 13);
  }","/**
  * Returns the base font for which system fonts are derived.
  * This is Lucida Grande, Plain, 13.
  */",Missing Critical Information,Missing Critical Information,Missing Critical Information,,,,Missing Non-Critical Information,Missing Non-Critical Information,Missing Non-Critical Information,Missing Critical Information,Missing Non-Critical Information,Missing Critical Information
6,private void installSubcomponents() { createActions(); createButtons(); add(iconifyButton); add(toggleButton); add(closeButton); },adds any sub-components contained in the quaquatitlepane,installs the subcomponents,installs the necessary properties for the button,installs the buttons and the buttons and buttons and button and button,"private void installSubcomponents() {
  //if (getWindowDecorationStyle() == JRootPane.FRAME) {
  createActions();
  createButtons();
  add(iconifyButton);
  add(toggleButton);
  add(closeButton);
  //}
  }","/**
  * Adds any sub-Components contained in the <code>QuaquaTitlePane</code>.
  */",Missing Critical Information,Improves upon Semantic Meaning ,Repetition,,,,Consistent but Missing Specific Info,Missing Non-Critical Information,Repetition,Missing Critical Information,Missing Non-Critical Information,Repetition
7,public LogicalExpression getRhs() throws IOException { return (LogicalExpression)plan.getSuccessors(this).get(2); },get the right hand side of this expression,returns the rhs expression,returns an expression that is used to represent the logical logical expression of this expression if the expression is an expression or if the expression is not a } then the expression is returned,returns the expression of the expression,"public LogicalExpression getRhs() throws IOException {
  return (LogicalExpression)plan.getSuccessors(this).get(2);
  }","/**
  * Get the right hand side of this expression.
  * @return expression on the right hand side
  * @throws IOException 
  */",Consistent but Missing Specific Info,Repetition,Repetition,,,,Consistent but Missing Specific Info,Repetition,Repetition,Consistent but Missing Specific Info,Repetition,Repetition
8,public boolean isCreateIds() { return createIds; },returns true if the model automatically creates ids and resolves id collisions,returns the createids,returns the },returns whether the is the default id,"public boolean isCreateIds() {
  return createIds;
  }","/**
  * Returns true if the model automatically creates Ids and resolves Id
  * collisions.
  *
  * @return Returns true if the model creates Ids.
  */",Missing task elaboration,Incorrect Identifier/Attribute,Missing Attribute Specification,,,,Partial Incorrect Information,Missing Syntax Information,Semantically Unrelated to Code,Partial Incorrect Information,Missing Syntax Information,Missing Attribute Specification
9,public TagLookupRequest withResponseGroup(String... values) { for (String value: values) { getResponseGroup().add(value); } return this; },sets the value of the responsegroup property,sets the response group,lookup the value of a lookup,returns a new with the given var,"public TagLookupRequest withResponseGroup(String... values) {
  for (String value: values) {
  getResponseGroup().add(value);
  }
  return this;
  }","/**
  * Sets the value of the ResponseGroup property.
  * 
  * @param values
  * @return
  *  this instance
  */",Missing Attribute Specification,Algorithmically Incorrect,Missing Identifier,,,,Consistent but Missing Specific Info,Repetition,Semantically Unrelated to Code,Consistent but Missing Specific Info,Algorithmically Incorrect,Missing Identifier
